epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4575.35,2.04822,9.93884,1.73459,0.61993,0.64346,0.64825,0.41781,2.23925,9.76322,1.73745,0.000741194,0.000741194,0.000741194
43,4684.5,2.02013,9.9423,1.71383,0.67424,0.62118,0.65404,0.39486,2.3809,9.94284,1.80665,0.000729725,0.000729725,0.000729725
44,4793.29,2.02207,9.88799,1.71668,0.68778,0.61402,0.65962,0.39251,2.34666,9.80176,1.82535,0.000718103,0.000718103,0.000718103
45,4902.41,2.02068,9.90164,1.72741,0.69002,0.61525,0.65828,0.39151,2.39913,9.60472,1.84853,0.000706335,0.000706335,0.000706335
46,5011.52,2.04551,9.81913,1.71829,0.68882,0.62154,0.64585,0.3909,2.46765,10.3404,1.89163,0.000694428,0.000694428,0.000694428
47,5120.66,2.00946,9.71872,1.69631,0.7019,0.63007,0.67245,0.41661,2.29431,9.53927,1.77958,0.000682392,0.000682392,0.000682392
48,5230.15,1.9856,9.60226,1.69423,0.67969,0.64819,0.68338,0.4304,2.29517,9.34746,1.77816,0.000670234,0.000670234,0.000670234
49,5339.34,1.99765,9.70393,1.69559,0.67951,0.63101,0.66482,0.41828,2.26286,9.49416,1.76549,0.000657963,0.000657963,0.000657963
50,5448.37,1.97302,9.41802,1.67347,0.70762,0.66536,0.69787,0.44426,2.25705,9.08114,1.76758,0.000645588,0.000645588,0.000645588
51,5557.42,1.97449,9.29107,1.68248,0.70693,0.6239,0.65877,0.40056,2.38785,9.64099,1.85516,0.000633115,0.000633115,0.000633115
52,5666.35,1.97191,9.45413,1.68566,0.74261,0.63808,0.69122,0.4506,2.17196,8.92505,1.69704,0.000620555,0.000620555,0.000620555
53,5775.6,1.97343,9.29811,1.68286,0.7166,0.64148,0.68448,0.41495,2.42076,9.34652,1.85971,0.000607916,0.000607916,0.000607916
54,5884.27,1.95,9.29649,1.68004,0.69594,0.66255,0.68176,0.44752,2.17929,9.05242,1.7313,0.000595207,0.000595207,0.000595207
55,5993.15,1.91963,9.01313,1.66481,0.71289,0.66844,0.69918,0.46202,2.1557,8.68024,1.70188,0.000582435,0.000582435,0.000582435
56,6102.21,1.92206,8.95522,1.6577,0.70576,0.65494,0.68868,0.45542,2.20721,8.77458,1.72121,0.00056961,0.00056961,0.00056961
57,6211.04,1.94366,8.94116,1.66932,0.75512,0.64303,0.70108,0.48115,2.08091,8.69574,1.6637,0.000556742,0.000556742,0.000556742
58,6320.3,1.91882,8.82332,1.65125,0.73571,0.66336,0.69639,0.4662,2.17083,8.70642,1.69509,0.000543837,0.000543837,0.000543837
59,6429.38,1.91648,8.80513,1.64078,0.72448,0.67274,0.70788,0.48592,2.05421,8.44801,1.64281,0.000530906,0.000530906,0.000530906
60,6538.52,1.91703,8.67638,1.64874,0.72144,0.67158,0.70482,0.48399,2.10866,8.71436,1.66899,0.000517958,0.000517958,0.000517958
61,6647.31,1.90601,8.65242,1.64029,0.71791,0.67252,0.71101,0.46581,2.1316,8.53906,1.67973,0.000505,0.000505,0.000505
62,6756.36,1.8895,8.55365,1.62543,0.72358,0.67194,0.70832,0.48678,2.06782,8.4252,1.64738,0.000492042,0.000492042,0.000492042
63,6865.94,1.88054,8.46082,1.6298,0.74118,0.6738,0.71758,0.49978,2.04785,8.14348,1.6288,0.000479094,0.000479094,0.000479094
64,6975.22,1.88252,8.49947,1.62375,0.71354,0.6629,0.70123,0.47514,2.11777,8.65408,1.65903,0.000466163,0.000466163,0.000466163
65,7084.12,1.87523,8.46957,1.6178,0.74954,0.66054,0.70506,0.49482,2.01938,8.46436,1.63425,0.000453258,0.000453258,0.000453258
66,7192.9,1.8629,8.24819,1.61249,0.76105,0.67436,0.72133,0.50227,2.00748,8.19886,1.60615,0.00044039,0.00044039,0.00044039
67,7302.27,1.84933,8.17854,1.60692,0.73382,0.67648,0.71255,0.49968,1.96673,8.2313,1.59751,0.000427565,0.000427565,0.000427565
68,7411.72,1.85711,8.22932,1.62043,0.7219,0.69413,0.71635,0.49051,2.02708,8.42521,1.62063,0.000414793,0.000414793,0.000414793
69,7520.78,1.84696,8.06984,1.60606,0.75629,0.68272,0.72374,0.51717,1.96597,8.04589,1.59931,0.000402084,0.000402084,0.000402084
70,7630.16,1.85658,8.09393,1.61346,0.70082,0.69238,0.71328,0.50339,1.96417,8.14543,1.60519,0.000389445,0.000389445,0.000389445
71,7739.21,1.83613,7.98061,1.60103,0.72162,0.68187,0.71369,0.48391,2.09044,8.32976,1.66522,0.000376885,0.000376885,0.000376885
72,7848.14,1.83665,7.89975,1.59657,0.7168,0.69965,0.7168,0.49897,2.03259,8.09784,1.63239,0.000364412,0.000364412,0.000364412
73,7957.07,1.80993,7.78612,1.59096,0.70779,0.70956,0.72493,0.5189,1.93132,7.92268,1.57725,0.000352037,0.000352037,0.000352037
74,8066.3,1.82759,7.70213,1.58837,0.73628,0.69626,0.72589,0.51775,1.96101,7.96987,1.58589,0.000339766,0.000339766,0.000339766
75,8175.72,1.80961,7.66055,1.57554,0.73979,0.69246,0.71976,0.53065,1.85598,7.82473,1.54118,0.000327608,0.000327608,0.000327608
76,8285.1,1.8144,7.73454,1.58406,0.75448,0.69726,0.73585,0.53,1.91167,7.80107,1.5716,0.000315572,0.000315572,0.000315572
77,8394.57,1.80636,7.49162,1.58009,0.73741,0.67949,0.71817,0.52878,1.88841,7.89938,1.56035,0.000303665,0.000303665,0.000303665
78,8503.71,1.78761,7.46415,1.56692,0.74496,0.70794,0.73357,0.53553,1.86763,7.81462,1.53869,0.000291897,0.000291897,0.000291897
79,8612.93,1.78109,7.54765,1.5573,0.75412,0.6921,0.72681,0.53555,1.86865,7.84014,1.54324,0.000280275,0.000280275,0.000280275
80,8722.08,1.78307,7.41074,1.56569,0.74318,0.70158,0.73446,0.53488,1.86144,7.81603,1.5312,0.000268806,0.000268806,0.000268806
81,8831.42,1.7579,7.23852,1.55044,0.74981,0.70468,0.73423,0.53396,1.89218,7.78533,1.54523,0.0002575,0.0002575,0.0002575
82,8940.72,1.76872,7.20817,1.55278,0.74182,0.70235,0.73052,0.53616,1.84976,7.67396,1.5377,0.000246363,0.000246363,0.000246363
83,9050.1,1.75656,7.17874,1.54791,0.73233,0.70368,0.72946,0.52982,1.91938,7.66957,1.56572,0.000235404,0.000235404,0.000235404
84,9158.95,1.77448,7.16029,1.54399,0.76782,0.69969,0.74099,0.54563,1.85846,7.56761,1.54149,0.000224629,0.000224629,0.000224629
85,9268.6,1.76093,7.10747,1.54231,0.79051,0.68289,0.73818,0.54352,1.8791,7.53425,1.54708,0.000214046,0.000214046,0.000214046
86,9377.62,1.74758,6.94783,1.52317,0.77234,0.69826,0.74118,0.54523,1.84691,7.62791,1.53915,0.000203663,0.000203663,0.000203663
87,9486.69,1.75085,6.98099,1.53778,0.77695,0.70446,0.74708,0.54877,1.87269,7.4642,1.53867,0.000193486,0.000193486,0.000193486
88,9595.91,1.72017,6.90318,1.51661,0.75666,0.70217,0.73909,0.54641,1.86558,7.59621,1.54752,0.000183523,0.000183523,0.000183523
89,9704.98,1.71263,6.79007,1.52226,0.76558,0.70413,0.73784,0.54623,1.84043,7.60675,1.53884,0.00017378,0.00017378,0.00017378
90,9814.25,1.71237,6.82172,1.5216,0.76955,0.70608,0.74158,0.55039,1.83488,7.45933,1.53361,0.000164264,0.000164264,0.000164264
91,9923.6,1.74406,6.8017,1.52138,0.78568,0.69839,0.73944,0.55342,1.81797,7.47939,1.53343,0.000154982,0.000154982,0.000154982
92,10032.9,1.71589,6.78335,1.52238,0.75479,0.70022,0.74267,0.54967,1.83602,7.51567,1.53285,0.00014594,0.00014594,0.00014594
93,10141.8,1.72287,6.80962,1.52581,0.79795,0.68869,0.7477,0.55697,1.82291,7.39797,1.52989,0.000137143,0.000137143,0.000137143
94,10251.4,1.6988,6.52237,1.50883,0.76,0.70289,0.75067,0.56319,1.79945,7.35456,1.52952,0.000128599,0.000128599,0.000128599
95,10360.8,1.70296,6.64381,1.51816,0.78847,0.70022,0.74592,0.55249,1.8282,7.3224,1.54193,0.000120313,0.000120313,0.000120313
96,10469.8,1.68498,6.4853,1.49557,0.75763,0.71573,0.74547,0.55634,1.81676,7.43803,1.52605,0.00011229,0.00011229,0.00011229
97,10578.9,1.70205,6.66589,1.50973,0.77558,0.70753,0.74846,0.55688,1.8288,7.39608,1.52572,0.000104537,0.000104537,0.000104537
98,10687.8,1.71006,6.63695,1.50815,0.77482,0.70771,0.74864,0.5597,1.81719,7.31667,1.52183,9.70575e-05,9.70575e-05,9.70575e-05
99,10796.6,1.69105,6.46472,1.49367,0.79716,0.69815,0.7543,0.56485,1.81664,7.40352,1.53041,8.98581e-05,8.98581e-05,8.98581e-05
100,10906.1,1.67113,6.31914,1.49384,0.768,0.70629,0.74478,0.55226,1.85121,7.42879,1.53433,8.29431e-05,8.29431e-05,8.29431e-05
101,11014.8,1.68817,6.41816,1.49831,0.76199,0.71772,0.74725,0.55779,1.81029,7.41067,1.52161,7.63174e-05,7.63174e-05,7.63174e-05
102,11123.8,1.67815,6.35826,1.49485,0.79082,0.69968,0.75025,0.56003,1.80868,7.3752,1.52088,6.99855e-05,6.99855e-05,6.99855e-05
103,11232.8,1.66672,6.19156,1.4766,0.79547,0.70172,0.75676,0.5603,1.81752,7.30778,1.52661,6.39518e-05,6.39518e-05,6.39518e-05
104,11341.4,1.66285,6.17832,1.4739,0.78458,0.705,0.75732,0.56347,1.80796,7.30274,1.52023,5.82203e-05,5.82203e-05,5.82203e-05
105,11450.2,1.62704,6.12389,1.4637,0.77944,0.71163,0.75727,0.56721,1.79334,7.28457,1.50985,5.2795e-05,5.2795e-05,5.2795e-05
106,11559.3,1.64406,6.073,1.46977,0.76556,0.71665,0.75634,0.57007,1.77757,7.25094,1.50477,4.76796e-05,4.76796e-05,4.76796e-05
107,11668.5,1.65588,6.17787,1.47014,0.79709,0.69742,0.75416,0.56489,1.79616,7.3355,1.51475,4.28777e-05,4.28777e-05,4.28777e-05
108,11777.6,1.65513,6.14851,1.46673,0.77402,0.70886,0.75443,0.57041,1.78067,7.29345,1.50913,3.83925e-05,3.83925e-05,3.83925e-05
109,11886.5,1.62962,6.05512,1.45854,0.77582,0.70673,0.75198,0.5641,1.79977,7.3386,1.51072,3.4227e-05,3.4227e-05,3.4227e-05
110,11995.4,1.65235,6.13953,1.46649,0.7787,0.7098,0.75236,0.56627,1.80265,7.31709,1.51785,3.03842e-05,3.03842e-05,3.03842e-05
111,12104.3,1.52583,4.77142,1.41297,0.7714,0.70417,0.75032,0.56382,1.79373,7.3811,1.51039,2.68667e-05,2.68667e-05,2.68667e-05
112,12212.4,1.52929,4.78981,1.42018,0.76886,0.70838,0.74981,0.5662,1.79467,7.37,1.51111,2.36769e-05,2.36769e-05,2.36769e-05
113,12321,1.50853,4.74154,1.41051,0.77206,0.70428,0.75222,0.56696,1.79087,7.32616,1.50932,2.08169e-05,2.08169e-05,2.08169e-05
114,12429.2,1.51969,4.66187,1.40782,0.75963,0.71608,0.75408,0.56756,1.7876,7.30002,1.50969,1.82888e-05,1.82888e-05,1.82888e-05
115,12537.9,1.50573,4.64506,1.40833,0.80044,0.69409,0.75632,0.5673,1.79739,7.32305,1.51349,1.60943e-05,1.60943e-05,1.60943e-05
116,12646.3,1.51945,4.71555,1.42145,0.79297,0.69928,0.75378,0.56907,1.79967,7.31395,1.51553,1.42348e-05,1.42348e-05,1.42348e-05
117,12754.6,1.50505,4.6399,1.39837,0.78873,0.70612,0.75484,0.57128,1.78366,7.31954,1.50844,1.27117e-05,1.27117e-05,1.27117e-05
118,12863,1.5154,4.62795,1.40807,0.78483,0.70524,0.75514,0.57093,1.78311,7.32169,1.50527,1.15259e-05,1.15259e-05,1.15259e-05
119,12971.2,1.4908,4.58772,1.40001,0.80421,0.69964,0.75509,0.57101,1.7892,7.33098,1.51007,1.06784e-05,1.06784e-05,1.06784e-05
120,13079.6,1.51242,4.65654,1.40258,0.79227,0.7032,0.75613,0.57058,1.79487,7.3113,1.51248,1.01696e-05,1.01696e-05,1.01696e-05
